,id,utcDate,status,matchday,stage,group,lastUpdated,referees,competition.id,competition.name,competition.area.name,competition.area.code,competition.area.ensignUrl,season.id,season.startDate,season.endDate,season.currentMatchday,season.winner,odds.msg,score.winner,score.duration,score.fullTime.homeTeam,score.fullTime.awayTeam,score.halfTime.homeTeam,score.halfTime.awayTeam,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name
0,327357,2021-08-14T11:30:00Z,FINISHED,1,REGULAR_SEASON,,2022-05-02T16:20:23Z,"[{'id': 11606, 'name': 'Constantine Hatzidakis', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11424, 'name': 'Neil Davies', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'England'}, {'id': 11580, 'name': 'Anthony Taylor', 'role': 'FOURTH_OFFICIAL', 'nationality': 'England'}, {'id': 11520, 'name': 'Paul Tierney', 'role': 'REFEREE', 'nationality': 'England'}, {'id': 11443, 'name': 'Chris Kavanagh', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11530, 'name': 'Lee Betts', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'England'}]",2021,Premier League,England,ENG,https://crests.football-data.org/770.svg,733,2021-08-13,2022-05-22,37,,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,5.0,1.0,1.0,0.0,,,,,66,Manchester United FC,341,Leeds United FC
1,327345,2021-08-22T13:00:00Z,FINISHED,2,REGULAR_SEASON,,2022-05-02T16:20:23Z,"[{'id': 11495, 'name': 'Ian Hussin', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11586, 'name': 'Richard West', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'England'}, {'id': 23568, 'name': 'Jarred Gillett', 'role': 'FOURTH_OFFICIAL', 'nationality': 'Australia'}, {'id': 11585, 'name': 'Craig Pawson', 'role': 'REFEREE', 'nationality': 'England'}, {'id': 11610, 'name': 'Andre Marriner', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11530, 'name': 'Lee Betts', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'England'}]",2021,Premier League,England,ENG,https://crests.football-data.org/770.svg,733,2021-08-13,2022-05-22,37,,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1.0,1.0,1.0,0.0,,,,,340,Southampton FC,66,Manchester United FC
2,327333,2021-08-29T15:30:00Z,FINISHED,3,REGULAR_SEASON,,2022-05-02T16:20:23Z,"[{'id': 11575, 'name': 'Mike Dean', 'role': 'REFEREE', 'nationality': 'England'}, {'id': 11576, 'name': 'Darren Cann', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11431, 'name': 'Daniel Robathan', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'England'}, {'id': 11446, 'name': 'Robert Jones', 'role': 'FOURTH_OFFICIAL', 'nationality': 'England'}, {'id': 11494, 'name': 'Stuart Attwell', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11424, 'name': 'Neil Davies', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'England'}]",2021,Premier League,England,ENG,https://crests.football-data.org/770.svg,733,2021-08-13,2022-05-22,37,,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0.0,1.0,0.0,0.0,,,,,76,Wolverhampton Wanderers FC,66,Manchester United FC
3,327325,2021-09-11T14:00:00Z,FINISHED,4,REGULAR_SEASON,,2022-05-02T16:20:23Z,"[{'id': 11581, 'name': 'Gary Beswick', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11615, 'name': 'Adam Nunn', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'England'}, {'id': 11327, 'name': 'John Brooks', 'role': 'FOURTH_OFFICIAL', 'nationality': 'England'}, {'id': 11580, 'name': 'Anthony Taylor', 'role': 'REFEREE', 'nationality': 'England'}, {'id': 11585, 'name': 'Craig Pawson', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11611, 'name': 'Scott Ledger', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'England'}]",2021,Premier League,England,ENG,https://crests.football-data.org/770.svg,733,2021-08-13,2022-05-22,37,,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4.0,1.0,1.0,0.0,,,,,66,Manchester United FC,67,Newcastle United FC
4,337490,2021-09-14T16:45:00Z,FINISHED,1,GROUP_STAGE,GROUP_F,2022-05-02T16:20:13Z,"[{'id': 43918, 'name': 'François Letexier', 'role': 'REFEREE', 'nationality': 'France'}, {'id': 57080, 'name': 'Cyril Mugnier', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'France'}, {'id': 57049, 'name': 'Mehdi Rahmouni', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'France'}, {'id': 57039, 'name': 'Thomas Léonard', 'role': 'FOURTH_OFFICIAL', 'nationality': 'France'}, {'id': 57042, 'name': 'Willy Delajod', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'France'}, {'id': 11054, 'name': 'Massimiliano Irrati', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'Italy'}]",2001,UEFA Champions League,Europe,EUR,https://crests.football-data.org/EUR.svg,734,2021-06-22,2022-05-28,7,,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2.0,1.0,0.0,1.0,,,,,1871,BSC Young Boys,66,Manchester United FC
5,327314,2021-09-19T13:00:00Z,FINISHED,5,REGULAR_SEASON,,2022-05-02T16:20:23Z,"[{'id': 11551, 'name': 'Martin Atkinson', 'role': 'REFEREE', 'nationality': 'England'}, {'id': 11530, 'name': 'Lee Betts', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11586, 'name': 'Richard West', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'England'}, {'id': 11556, 'name': 'David Coote', 'role': 'FOURTH_OFFICIAL', 'nationality': 'England'}, {'id': 11469, 'name': 'Darren England', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11431, 'name': 'Daniel Robathan', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'England'}]",2021,Premier League,England,ENG,https://crests.football-data.org/770.svg,733,2021-08-13,2022-05-22,37,,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1.0,2.0,1.0,1.0,,,,,563,West Ham United FC,66,Manchester United FC
6,327305,2021-09-25T11:30:00Z,FINISHED,6,REGULAR_SEASON,,2022-05-02T16:20:23Z,"[{'id': 11576, 'name': 'Darren Cann', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11480, 'name': 'Eddie Smart', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'England'}, {'id': 11405, 'name': 'Michael Salisbury', 'role': 'FOURTH_OFFICIAL', 'nationality': 'England'}, {'id': 11575, 'name': 'Mike Dean', 'role': 'REFEREE', 'nationality': 'England'}, {'id': 11423, 'name': 'Andy Madley', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11544, 'name': 'Simon Beck', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'England'}]",2021,Premier League,England,ENG,https://crests.football-data.org/770.svg,733,2021-08-13,2022-05-22,37,,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0.0,1.0,0.0,0.0,,,,,66,Manchester United FC,58,Aston Villa FC
7,337487,2021-09-29T19:00:00Z,FINISHED,2,GROUP_STAGE,GROUP_F,2022-05-02T16:20:13Z,"[{'id': 43878, 'name': 'Felix Zwayer', 'role': 'REFEREE', 'nationality': 'Germany'}, {'id': 43880, 'name': 'Rafael Foltyn', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'Germany'}, {'id': 43879, 'name': 'Marco Achmüller', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'Germany'}, {'id': 15824, 'name': 'Sven Jablonski', 'role': 'FOURTH_OFFICIAL', 'nationality': 'Germany'}, {'id': 57526, 'name': 'Christian Dingert', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'Germany'}, {'id': 15746, 'name': 'Bastian Dankert', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'Germany'}]",2001,UEFA Champions League,Europe,EUR,https://crests.football-data.org/EUR.svg,734,2021-06-22,2022-05-28,7,,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2.0,1.0,0.0,0.0,,,,,66,Manchester United FC,94,Villarreal CF
8,327296,2021-10-02T11:30:00Z,FINISHED,7,REGULAR_SEASON,,2022-05-02T16:20:23Z,"[{'id': 11564, 'name': 'Stuart Burt', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11488, 'name': 'Simon Bennett', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'England'}, {'id': 11520, 'name': 'Paul Tierney', 'role': 'FOURTH_OFFICIAL', 'nationality': 'England'}, {'id': 11605, 'name': 'Michael Oliver', 'role': 'REFEREE', 'nationality': 'England'}, {'id': 11494, 'name': 'Stuart Attwell', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11570, 'name': 'Harry Lennard', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'England'}]",2021,Premier League,England,ENG,https://crests.football-data.org/770.svg,733,2021-08-13,2022-05-22,37,,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1.0,1.0,1.0,0.0,,,,,66,Manchester United FC,62,Everton FC
9,327288,2021-10-16T14:00:00Z,FINISHED,8,REGULAR_SEASON,,2022-05-02T16:20:23Z,"[{'id': 11530, 'name': 'Lee Betts', 'role': 'ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11431, 'name': 'Daniel Robathan', 'role': 'ASSISTANT_REFEREE_N2', 'nationality': 'England'}, {'id': 11423, 'name': 'Andy Madley', 'role': 'FOURTH_OFFICIAL', 'nationality': 'England'}, {'id': 11585, 'name': 'Craig Pawson', 'role': 'REFEREE', 'nationality': 'England'}, {'id': 11469, 'name': 'Darren England', 'role': 'VIDEO_ASSISTANT_REFEREE_N1', 'nationality': 'England'}, {'id': 11480, 'name': 'Eddie Smart', 'role': 'VIDEO_ASSISTANT_REFEREE_N2', 'nationality': 'England'}]",2021,Premier League,England,ENG,https://crests.football-data.org/770.svg,733,2021-08-13,2022-05-22,37,,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4.0,2.0,1.0,1.0,,,,,338,Leicester City FC,66,Manchester United FC
