,id,utcDate,status,matchday,stage,group,lastUpdated,referees,competition.id,competition.name,season.id,season.startDate,season.endDate,season.currentMatchday,odds.msg,score.winner,score.duration,score.fullTime.homeTeam,score.fullTime.awayTeam,score.halfTime.homeTeam,score.halfTime.awayTeam,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name
0,308517,2021-01-24T13:00:00Z,FINISHED,20,REGULAR_SEASON,Regular Season,2021-06-30T08:20:25Z,Javier Estrada,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,2,0,,,,,79,CA Osasuna,83,Granada CF
1,308358,2021-01-12T18:00:00Z,FINISHED,4,REGULAR_SEASON,Regular Season,2021-06-30T08:20:25Z,Pablo González,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,0,2,0,,,,,83,Granada CF,79,CA Osasuna
2,308496,2021-01-09T20:00:00Z,FINISHED,18,REGULAR_SEASON,Regular Season,2021-06-30T08:20:25Z,César Soto,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,0,0,0,0,,,,,79,CA Osasuna,86,Real Madrid CF
3,308487,2021-01-03T17:30:00Z,FINISHED,17,REGULAR_SEASON,Regular Season,2021-06-30T08:20:25Z,Valentín Pizarro,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,0,1,,,,,92,Real Sociedad de Fútbol,79,CA Osasuna
4,308476,2020-12-31T15:15:00Z,FINISHED,16,REGULAR_SEASON,Regular Season,2020-12-31T19:39:02Z,Santiago Jaime,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,0,0,,,,,79,CA Osasuna,263,Deportivo Alavés
5,308469,2020-12-22T16:30:00Z,FINISHED,15,REGULAR_SEASON,Regular Season,2020-12-23T00:10:06Z,Ricardo de Burgos,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,2,2,0,1,,,,,285,Elche CF,79,CA Osasuna
6,308456,2020-12-19T17:30:00Z,FINISHED,14,REGULAR_SEASON,Regular Season,2020-12-20T00:45:17Z,Jorge Figueroa,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,3,0,2,,,,,79,CA Osasuna,94,Villarreal CF
7,308450,2020-12-11T20:00:00Z,FINISHED,13,REGULAR_SEASON,Regular Season,2020-12-12T01:10:26Z,Adrián Cordero,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,2,1,2,,,,,250,Real Valladolid CF,79,CA Osasuna
8,308435,2020-12-06T15:15:00Z,FINISHED,12,REGULAR_SEASON,Regular Season,2020-12-07T03:10:14Z,Alejandro Hernández,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,2,0,0,,,,,79,CA Osasuna,90,Real Betis Balompié
9,308424,2020-11-29T13:00:00Z,FINISHED,11,REGULAR_SEASON,Regular Season,2020-12-30T14:32:50Z,Antonio Matéu Lahoz,2014,Primera Division,635,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,0,2,0,,,,,81,FC Barcelona,79,CA Osasuna
