,id,utcDate,status,matchday,stage,group,lastUpdated,referees,competition.id,competition.name,season.id,season.startDate,season.endDate,season.currentMatchday,odds.msg,score.winner,score.duration,score.fullTime.homeTeam,score.fullTime.awayTeam,score.halfTime.homeTeam,score.halfTime.awayTeam,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name
0,324695,2021-05-29T19:00:00Z,FINISHED,,FINAL,,2021-05-29T23:59:04Z,Antonio Matéu Lahoz,2001,UEFA Champions League,642,2020-08-08,2021-05-29,6,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,1,,,,,65,Manchester City FC,61,Chelsea FC
1,304129,2021-05-23T15:00:00Z,FINISHED,38.0,REGULAR_SEASON,Regular Season,2021-06-15T08:20:25Z,Stuart Attwell,2021,Premier League,619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,1,1,0,,,,,58,Aston Villa FC,61,Chelsea FC
2,304118,2021-05-18T19:15:00Z,FINISHED,37.0,REGULAR_SEASON,Regular Season,2021-06-15T08:20:25Z,Mike Dean,2021,Premier League,619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,1,0,0,,,,,61,Chelsea FC,338,Leicester City FC
3,304113,2021-05-12T19:15:00Z,FINISHED,36.0,REGULAR_SEASON,Regular Season,2021-06-15T08:20:25Z,Andre Marriner,2021,Premier League,619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,1,,,,,61,Chelsea FC,57,Arsenal FC
4,304101,2021-05-08T16:30:00Z,FINISHED,35.0,REGULAR_SEASON,Regular Season,2021-06-15T08:20:25Z,Anthony Taylor,2021,Premier League,619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,2,1,0,,,,,65,Manchester City FC,61,Chelsea FC
5,324362,2021-05-05T19:00:00Z,FINISHED,,SEMI_FINALS,,2021-05-05T23:59:06Z,Daniele Orsato,2001,UEFA Champions League,642,2020-08-08,2021-05-29,6,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,0,1,0,,,,,61,Chelsea FC,86,Real Madrid CF
6,304088,2021-05-01T16:30:00Z,FINISHED,34.0,REGULAR_SEASON,Regular Season,2021-06-15T08:20:25Z,Kevin Friend,2021,Premier League,619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,0,1,0,,,,,61,Chelsea FC,63,Fulham FC
7,324361,2021-04-27T19:00:00Z,FINISHED,,SEMI_FINALS,,2021-04-27T23:59:18Z,Danny Makkelie,2001,UEFA Champions League,642,2020-08-08,2021-05-29,6,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,1,1,,,,,86,Real Madrid CF,61,Chelsea FC
8,304085,2021-04-24T16:30:00Z,FINISHED,33.0,REGULAR_SEASON,Regular Season,2021-06-15T08:20:25Z,Chris Kavanagh,2021,Premier League,619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,1,,,,,563,West Ham United FC,61,Chelsea FC
9,304071,2021-04-20T19:15:00Z,FINISHED,32.0,REGULAR_SEASON,Regular Season,2021-06-15T08:20:25Z,Stuart Attwell,2021,Premier League,619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,0,0,0,0,,,,,61,Chelsea FC,397,Brighton & Hove Albion FC
