,id,utcDate,status,matchday,stage,group,lastUpdated,referees,competition.id,competition.name,season.id,season.startDate,season.endDate,season.currentMatchday,odds.msg,score.winner,score.duration,score.fullTime.homeTeam,score.fullTime.awayTeam,score.halfTime.homeTeam,score.halfTime.awayTeam,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name
0,203462,2018-05-20T18:45:00Z,FINISHED,38,REGULAR_SEASON,Regular Season,2018-06-22T10:02:32Z,José Munuera,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,1,0,0,0,,,,,81,FC Barcelona,92,Real Sociedad de Fútbol
1,203443,2018-05-12T14:15:00Z,FINISHED,37,REGULAR_SEASON,Regular Season,2018-06-22T10:02:31Z,David Medié,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,2,2,1,,,,,92,Real Sociedad de Fútbol,745,CD Leganés
2,203317,2018-02-18T11:00:00Z,FINISHED,24,REGULAR_SEASON,Regular Season,2018-06-22T10:02:25Z,Santiago Jaime,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,0,2,0,,,,,92,Real Sociedad de Fútbol,88,Levante UD
3,203306,2018-02-10T19:45:00Z,FINISHED,23,REGULAR_SEASON,Regular Season,2018-06-22T10:02:24Z,Alejandro Hernández,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,5,2,4,0,,,,,86,Real Madrid CF,92,Real Sociedad de Fútbol
4,203292,2018-02-02T20:00:00Z,FINISHED,22,REGULAR_SEASON,Regular Season,2018-06-22T10:02:24Z,Alberto Undiano,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,5,0,1,0,,,,,92,Real Sociedad de Fútbol,560,RC Deportivo La Coruña
5,203286,2018-01-27T19:45:00Z,FINISHED,21,REGULAR_SEASON,Regular Season,2018-06-22T10:02:24Z,Carlos del Cerro,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,2,4,1,,,,,94,Villarreal CF,92,Real Sociedad de Fútbol
6,203279,2018-01-21T17:30:00Z,FINISHED,20,REGULAR_SEASON,Regular Season,2018-06-22T10:02:23Z,Antonio Matéu Lahoz,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,2,1,1,,,,,92,Real Sociedad de Fútbol,558,RC Celta de Vigo
7,203270,2018-01-14T19:45:00Z,FINISHED,19,REGULAR_SEASON,Regular Season,2018-06-22T10:02:23Z,José González,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,2,4,2,1,,,,,92,Real Sociedad de Fútbol,81,FC Barcelona
8,203256,2018-01-07T11:00:00Z,FINISHED,18,REGULAR_SEASON,Regular Season,2018-06-22T10:02:23Z,Javier Estrada,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,1,0,0,0,,,,,745,CD Leganés,92,Real Sociedad de Fútbol
9,203244,2017-12-20T20:30:00Z,FINISHED,17,REGULAR_SEASON,Regular Season,2018-06-22T10:02:22Z,Alejandro Hernández,2014,Primera Division,16,2017-08-18,2018-05-20,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,1,1,,,,,92,Real Sociedad de Fútbol,559,Sevilla FC
