,id,utcDate,status,matchday,stage,group,lastUpdated,referees,competition.id,competition.name,season.id,season.startDate,season.endDate,season.currentMatchday,odds.msg,score.winner,score.duration,score.fullTime.homeTeam,score.fullTime.awayTeam,score.halfTime.homeTeam,score.halfTime.awayTeam,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name
0,326996,2022-04-28T18:45:00Z,FINISHED,37.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Mike Dean,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,0,0,,,,,66,Manchester United FC,61,Chelsea FC
1,327023,2022-04-23T11:30:00Z,FINISHED,34.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Craig Pawson,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,2,1,,,,,57,Arsenal FC,66,Manchester United FC
2,327036,2022-04-16T14:00:00Z,FINISHED,33.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Andy Madley,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,2,2,1,,,,,66,Manchester United FC,68,Norwich City FC
3,327046,2022-04-09T11:30:00Z,FINISHED,32.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Jonathan Moss,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,1,0,1,0,,,,,62,Everton FC,66,Manchester United FC
4,339653,2022-03-15T20:00:00Z,FINISHED,7.0,LAST_16,,2022-04-29T16:20:04Z,Slavko Vinčič,2001,UEFA Champions League,734,2021-06-22,2022-05-28,7,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,1,,,,,66,Manchester United FC,78,Club Atlético de Madrid
5,327075,2022-03-12T17:30:00Z,FINISHED,29.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Jonathan Moss,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,2,2,1,,,,,66,Manchester United FC,73,Tottenham Hotspur FC
6,327095,2022-02-26T15:00:00Z,FINISHED,27.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Kevin Friend,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,0,0,0,0,,,,,66,Manchester United FC,346,Watford FC
7,339659,2022-02-23T20:00:00Z,FINISHED,7.0,LAST_16,,2022-04-29T16:20:04Z,Ovidiu Hațegan,2001,UEFA Champions League,734,2021-06-22,2022-05-28,7,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,1,0,,,,,78,Club Atlético de Madrid,66,Manchester United FC
8,327108,2022-02-20T14:00:00Z,FINISHED,26.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Paul Tierney,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,2,4,0,2,,,,,341,Leeds United FC,66,Manchester United FC
9,327189,2022-02-15T20:15:00Z,FINISHED,18.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Peter Bankes,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,0,0,0,,,,,66,Manchester United FC,397,Brighton & Hove Albion FC
10,327117,2022-02-12T12:30:00Z,FINISHED,25.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Stuart Attwell,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,1,0,,,,,66,Manchester United FC,340,Southampton FC
11,327130,2022-02-08T20:00:00Z,FINISHED,24.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Mike Dean,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,0,1,,,,,328,Burnley FC,66,Manchester United FC
12,327135,2022-01-22T15:00:00Z,FINISHED,23.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Jonathan Moss,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,1,0,0,0,,,,,66,Manchester United FC,563,West Ham United FC
13,327201,2022-01-19T20:00:00Z,FINISHED,17.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Andre Marriner,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,3,0,0,,,,,402,Brentford FC,66,Manchester United FC
14,327155,2022-01-03T17:30:00Z,FINISHED,21.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Mike Dean,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,0,,,,,66,Manchester United FC,76,Wolverhampton Wanderers FC
15,327164,2021-12-30T20:15:00Z,FINISHED,20.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Jonathan Moss,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,3,1,,,,,66,Manchester United FC,328,Burnley FC
16,327177,2021-12-27T20:00:00Z,FINISHED,19.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Craig Pawson,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,1,0,,,,,67,Newcastle United FC,66,Manchester United FC
17,327203,2021-12-11T17:30:00Z,FINISHED,16.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Darren England,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,0,,,,,68,Norwich City FC,66,Manchester United FC
18,327219,2021-12-05T14:00:00Z,FINISHED,15.0,REGULAR_SEASON,,2022-04-29T16:20:22Z,Craig Pawson,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,1,0,0,0,,,,,66,Manchester United FC,354,Crystal Palace FC
19,327226,2021-12-02T20:15:00Z,FINISHED,14.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Martin Atkinson,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,2,1,1,,,,,66,Manchester United FC,57,Arsenal FC
20,327238,2021-11-28T16:30:00Z,FINISHED,13.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Anthony Taylor,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,0,0,,,,,61,Chelsea FC,66,Manchester United FC
21,337482,2021-11-23T17:50:00Z,FINISHED,5.0,GROUP_STAGE,GROUP_F,2022-04-29T16:20:04Z,Felix Brych,2001,UEFA Champions League,734,2021-06-22,2022-05-28,7,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,2,0,0,,,,,94,Villarreal CF,66,Manchester United FC
22,327244,2021-11-20T15:00:00Z,FINISHED,12.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Jonathan Moss,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,1,2,0,,,,,346,Watford FC,66,Manchester United FC
23,327255,2021-11-06T12:30:00Z,FINISHED,11.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Michael Oliver,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,2,0,2,,,,,66,Manchester United FC,65,Manchester City FC
24,337483,2021-11-02T20:00:00Z,FINISHED,4.0,GROUP_STAGE,GROUP_F,2022-04-29T16:20:04Z,Slavko Vinčič,2001,UEFA Champions League,734,2021-06-22,2022-05-28,7,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,2,2,1,1,,,,,102,Atalanta BC,66,Manchester United FC
25,327265,2021-10-30T16:30:00Z,FINISHED,10.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Stuart Attwell,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,3,0,1,,,,,73,Tottenham Hotspur FC,66,Manchester United FC
26,327275,2021-10-24T15:30:00Z,FINISHED,9.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Anthony Taylor,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,5,0,4,,,,,66,Manchester United FC,64,Liverpool FC
27,337485,2021-10-20T19:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_F,2022-04-29T16:20:04Z,Szymon Marciniak,2001,UEFA Champions League,734,2021-06-22,2022-05-28,7,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,2,0,2,,,,,66,Manchester United FC,102,Atalanta BC
28,327288,2021-10-16T14:00:00Z,FINISHED,8.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Craig Pawson,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,2,1,1,,,,,338,Leicester City FC,66,Manchester United FC
29,327296,2021-10-02T11:30:00Z,FINISHED,7.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Michael Oliver,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,1,0,,,,,66,Manchester United FC,62,Everton FC
30,337487,2021-09-29T19:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_F,2022-04-29T16:20:04Z,Felix Zwayer,2001,UEFA Champions League,734,2021-06-22,2022-05-28,7,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,1,0,0,,,,,66,Manchester United FC,94,Villarreal CF
31,327305,2021-09-25T11:30:00Z,FINISHED,6.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Mike Dean,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,0,,,,,66,Manchester United FC,58,Aston Villa FC
32,327314,2021-09-19T13:00:00Z,FINISHED,5.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Martin Atkinson,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,2,1,1,,,,,563,West Ham United FC,66,Manchester United FC
33,337490,2021-09-14T16:45:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_F,2022-04-29T16:20:04Z,François Letexier,2001,UEFA Champions League,734,2021-06-22,2022-05-28,7,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,1,0,1,,,,,1871,BSC Young Boys,66,Manchester United FC
34,327325,2021-09-11T14:00:00Z,FINISHED,4.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Anthony Taylor,2021,Premier League,733,2021-08-13,2022-05-22,37,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,1,1,0,,,,,66,Manchester United FC,67,Newcastle United FC
35,333774,2021-08-22T16:30:00Z,FINISHED,1.0,REGULAR_SEASON,,2022-04-29T16:20:21Z,Ivan Pezzuto,2019,Serie A,757,2021-08-21,2022-05-22,35,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,2,2,0,2,,,,,115,Udinese Calcio,109,Juventus FC
36,325088,2021-06-27T19:00:01Z,FINISHED,4.0,LAST_16,,2022-04-29T16:20:13Z,Felix Brych,2018,European Championship,507,2021-06-11,2021-07-11,7,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,1,0,1,0,,,,,805,Belgium,765,Portugal
37,285453,2021-06-23T19:00:00Z,FINISHED,3.0,GROUP_STAGE,Group F,2022-04-29T16:20:13Z,Antonio Matéu Lahoz,2018,European Championship,507,2021-06-11,2021-07-11,7,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,2,2,1,1,,,,,765,Portugal,773,France
38,285451,2021-06-19T16:00:00Z,FINISHED,2.0,GROUP_STAGE,Group F,2022-04-29T16:20:13Z,Anthony Taylor,2018,European Championship,507,2021-06-11,2021-07-11,7,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,2,4,1,2,,,,,765,Portugal,759,Germany
39,285448,2021-06-15T16:00:00Z,FINISHED,1.0,GROUP_STAGE,Group F,2022-04-29T16:20:13Z,Cuneyt Cakir,2018,European Championship,507,2021-06-11,2021-07-11,7,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,3,0,0,,,,,827,Hungary,765,Portugal
40,309965,2021-05-23T18:45:00Z,FINISHED,38.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Paolo Valeri,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,4,0,3,,,,,103,Bologna FC 1909,109,Juventus FC
41,309949,2021-05-15T16:00:00Z,FINISHED,37.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Giampaolo Calvarese,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,2,2,1,,,,,109,Juventus FC,108,FC Internazionale Milano
42,309947,2021-05-12T18:45:00Z,FINISHED,36.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Piero Giacomelli,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,3,0,2,,,,,471,US Sassuolo Calcio,109,Juventus FC
43,309929,2021-05-09T18:45:00Z,FINISHED,35.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Paolo Valeri,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,3,0,1,,,,,109,Juventus FC,98,AC Milan
44,309922,2021-05-02T16:00:00Z,FINISHED,34.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Daniele Chiffi,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,2,1,0,,,,,115,Udinese Calcio,109,Juventus FC
45,309910,2021-04-25T13:00:00Z,FINISHED,33.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Davide Massa,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,1,0,,,,,99,ACF Fiorentina,109,Juventus FC
46,309899,2021-04-21T18:45:00Z,FINISHED,32.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Piero Giacomelli,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,1,1,,,,,109,Juventus FC,112,Parma Calcio 1913
47,309879,2021-04-11T13:00:00Z,FINISHED,30.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Marco Di Bello,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,2,0,,,,,109,Juventus FC,107,Genoa CFC
