,id,name,firstName,lastName,dateOfBirth,countryOfBirth,position,lastUpdated,teamId
0,44,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,1985-02-05,Portugal,Offence,2021-10-13T08:04:10Z,66
1,7909,Mata,Juan Manuel,Mata Garcia,1988-04-28,Spain,Offence,2021-10-13T08:03:46Z,66
2,65,Mateo Kovačić,Mateo,Kovačić,1994-05-06,Austria,Midfield,2021-10-13T08:03:44Z,61
3,3191,Azpilicueta,Cesar,Azpilicueta Tanco,1989-08-28,Spain,Defence,2021-10-13T08:03:46Z,61
4,3754,Mohamed Salah,Mohamed,Salah,1992-06-15,Egypt,Offence,2022-04-24T17:48:30Z,64
5,3323,Alex Oxlade-Chamberlain,Alex,Oxlade-Chamberlain,1993-08-15,England,Midfield,2021-10-13T08:03:51Z,64
6,3329,Raheem Sterling,Raheem Shaquille,Sterling,1994-12-08,Jamaica,Offence,2021-10-13T08:03:51Z,65
7,8069,Riyad Mahrez,Riyad,Mahrez,1991-02-21,France,Midfield,2021-10-13T08:04:13Z,65
8,3355,Hugo Lloris,Hugo,Lloris,1986-12-26,France,Goalkeeper,2021-10-13T08:04:04Z,73
9,3477,Granit Xhaka,Granit,Xhaka,1992-09-27,Switzerland,Midfield,2021-10-13T08:03:57Z,57
10,165267,Arthur Okonkwo,Arthur,Okonkwo,2001-09-09,England,Goalkeeper,2022-02-02T14:43:57Z,57
